model,set,pair,wording,a,b,source,n_readings_per_order,p_a_forward_readings,p_a_reverse_readings,p_a_forward_median,p_a_reverse_median,choice_probability_a,measurable,selected,captured_mass
Llama-3.1-405B,constructed,d1_F-A-D_a|d1_F-A-P_a,a,d1_F-A-D_a,d1_F-A-P_a,NDIF,1,0.9999,0.9820,0.9999,0.9820,0.9910,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-A-D_b|d1_F-A-P_b,b,d1_F-A-D_b,d1_F-A-P_b,NDIF,1,0.9999,0.9241,0.9999,0.9241,0.9620,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-A-D_c|d1_F-A-P_c,c,d1_F-A-D_c,d1_F-A-P_c,NDIF,1,0.9999,0.9924,0.9999,0.9924,0.9962,1,d1_F-A-D_c,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_a|d1_F-A-D_a,a,d1_F-A-N_a,d1_F-A-D_a,NDIF,1,0.5927,0.0000,0.5927,0.0000,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_a|d1_F-A-P_a,a,d1_F-A-N_a,d1_F-A-P_a,NDIF,1,0.9669,0.0000,0.9669,0.0000,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_b|d1_F-A-D_b,b,d1_F-A-N_b,d1_F-A-D_b,NDIF,1,0.0675,0.0000,0.0675,0.0000,0.0338,1,d1_F-A-D_b,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_b|d1_F-A-P_b,b,d1_F-A-N_b,d1_F-A-P_b,NDIF,1,0.9903,0.0000,0.9903,0.0000,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_c|d1_F-A-D_c,c,d1_F-A-N_c,d1_F-A-D_c,NDIF,1,0.8520,0.0000,0.8520,0.0000,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-A-N_c|d1_F-A-P_c,c,d1_F-A-N_c,d1_F-A-P_c,NDIF,1,0.9954,0.0000,0.9954,0.0000,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_a|d1_F-A-D_a,a,d1_F-L-D_a,d1_F-A-D_a,NDIF,1,0.0000,0.0124,0.0000,0.0124,0.0062,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_a|d1_F-A-N_a,a,d1_F-L-D_a,d1_F-A-N_a,NDIF,1,0.1480,0.9914,0.1480,0.9914,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_a|d1_F-A-P_a,a,d1_F-L-D_a,d1_F-A-P_a,NDIF,1,0.0002,0.9890,0.0002,0.9890,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_a|d1_F-L-P_a,a,d1_F-L-D_a,d1_F-L-P_a,NDIF,1,0.9526,0.9997,0.9526,0.9997,0.9761,1,d1_F-L-D_a,0.9999
Llama-3.1-405B,constructed,d1_F-L-D_b|d1_F-A-D_b,b,d1_F-L-D_b,d1_F-A-D_b,NDIF,1,0.0000,0.9983,0.0000,0.9983,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_b|d1_F-A-N_b,b,d1_F-L-D_b,d1_F-A-N_b,NDIF,1,0.0067,0.9999,0.0067,0.9999,,0,,1.0000
Llama-3.1-405B,constructed,d1_F-L-D_b|d1_F-A-P_b,b,d1_F-L-D_b,d1_F-A-P_b,NDIF,1,0.0000,0.9996,0.0000,0.9996,,0,,1.0000
